"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC+9)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1945.05658523374/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x75950a0f64fdf5fe399da916d89b051686a3163d7002d3a56e133766f6e4185d","24599796","1772816759","2026-03-07 02:05:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000273821388","0.0532598093907243","1978.55","","","Transfer"
"0x372852866c588d9a83665333802208a6e2ce65db6b3107c46aea8c83b03d8ec6","24601600","1772838491","2026-03-07 08:08:11","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000061123103","0.011888789400007","1978.55","","","Transfer"
"0x6c749bc079f045b99be8006f53ec1ff597e049cc78ebcfebb7f32fbbc570bd93","24601602","1772838515","2026-03-07 08:08:35","0xf3a5a904b0f451e0b6cde91699e2267c9c1cd50e","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.000001147426434","0.00223180934152297","1978.55","","","Transfer"
"0xd5977c7c5369576fcf16924d16f144007daef896841ea8f552741193ca5b5ff9","24602148","1772845127","2026-03-07 09:58:47","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000044625554","0.00867992276774039","1969.49","","","Transfer"
"0x975c9d788fe9684678532db5cdc1818f757b4f48b1d4f585d594240c5f43c564","24602987","1772855243","2026-03-07 12:47:23","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xb1b7b53c51ce87b8a4310cf6524570aa08f621ac","","0","0","0","0.0000029145054","0.00566887792096929","1969.49","","","Flush Tokens"
"0x2ec41b8178cba971086efb5749be68db3d076f57bc8c337e2c0e4e174f9daf30","24603328","1772859359","2026-03-07 13:55:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000043677419","0.00849550514519633","1969.49","","","Transfer"
"0x74531a792ce1dae45234ccd45959f0377a7926ffe4f22455909742cf52e605f7","24603331","1772859395","2026-03-07 13:56:35","0xc1717ff418d04e8b4bb644f3c374b33db4c2113a","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.000000892327821","0.00173562810442332","1969.49","","","Transfer"
"0xb195e5930a500cb6f20c5bf7b4ec0a7e0bd37d9cba96a9db35b1711df2973a33","24604464","1772873099","2026-03-07 17:44:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.000004930302","0.00958971637229108","1969.49","","","Transfer"
"0xf969186ae06098464e34549a9e2e2fb9b34d4b88926497820d14d5d013e3aed3","24604558","1772874227","2026-03-07 18:03:47","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000045249052","0.00880119665681839","1969.49","","","Transfer"
"0xe9fdfaf9d6e61736e09e185e4aad2e560cfeb8c4eaa5303a63fd9e57ffc734f3","24604561","1772874263","2026-03-07 18:04:23","0x4b39b2d1d9b36be5f31420927bd7bbf289b25b12","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.00000099837108","0.00194188824366092","1969.49","","","Transfer"
"0x292168061d69554261ba2d7d2ed1f6c9a31f6cfd2abbf74269b6cb0d8b866290","24604797","1772877107","2026-03-07 18:51:47","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000074382869","0.0144678889177029","1969.49","","","Transfer"
"0x7b958246416f0d4dde68b0e94ba0188f177033bfef8f3e1bb505a7170c1134b7","24604801","1772877155","2026-03-07 18:52:35","0x7f145fd7557297b6028d736a68470e3c2e352bb8","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.000001189409592","0.00231346895945978","1969.49","","","Transfer"
"0xf95ae0cd2d75fcb82c21d8117666a4830792f9cb6f8e4d745987bc72f6657528","24605200","1772881991","2026-03-07 20:13:11","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000102714625","0.0199785757756064","1969.49","","","Transfer"
"0x5b665e9dc45d8e29faafd0d1c6fbe12f100fd8d715fcb644157a38982a7e19f7","24605202","1772882015","2026-03-07 20:13:35","0xb3e35d23f0504b684d73a91c72049061523dc323","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.000002134983249","0.00415266322783118","1969.49","","","Transfer"
"0x599b76e0b06b8bf25800a7ba3df7d2ee468a3856fff4a1a53887373329d7a869","24605697","1772887979","2026-03-07 21:52:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000050187946","0.00976183948666553","1969.49","","","Transfer"
"0xd5ab5bd75060ee2d5bc3dfd6fb7e6fa0be5de34aee953da2194c6a4bd8c4bfc8","24605701","1772888027","2026-03-07 21:53:47","0x312780dd54428df569a1374e6246258c5e6edcf0","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.00000096645381","0.00187980734746474","1969.49","","","Transfer"
"0xdb52fa24ba7a6ba53dae232f0b37aa58ce63089f4a6be6711f876947ef15ede8","24610209","1772942339","2026-03-08 12:58:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0x114993bd4ba3ebee815676f44e77ed988f804b3c","","0","0","0","0.0000028215138","0.00548800399701787","1936.97","","","Flush Tokens"
"0x72ffc8703b8dfce05524dc1d5654addf2356a07e8f307a45a45c7fd811617c10","24610559","1772946539","2026-03-08 14:08:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xf415c0973e1079816274e998477aa602b5e98e60","","0","0","0","0.000003187092","0.00619907428234577","1936.97","","","Flush Tokens"
"0x35c3c29772c63ce793f11ff118f25bcdffc4a44b728352b304c4c923f007a9a9","24610635","1772947451","2026-03-08 14:24:11","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000046205779","0.00898728547198049","1936.97","","","Transfer"
"0xd750944be3248bd862e17de5abace027aabe5e0e1f7964cd9837a23b93355776","24610638","1772947487","2026-03-08 14:24:47","0x927e8f2591fd0cf7b6596a6ea5585e0e555e1c45","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.000000973949193","0.00189438629152774","1936.97","","","Transfer"
"0xd6ebfe98e78efc077e0e2e0dbca6de4073d3dcb4caf57b0aa2ce664bbca3b387","24610718","1772948459","2026-03-08 14:40:59","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000040319686","0.00784240707688566","1936.97","","","Transfer"
"0xc81f667dbad1633d262a5079f5dca7c9d39ce3441dd82d951c148e889a5babdb","24611785","1772961335","2026-03-08 18:15:35","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000028064796","0.00545876162730415","1936.97","","","Transfer"
"0x78736f09b3067762bfd7e8c0878f17b12075388b02d54eaf34d324eb3c5882fb","24611789","1772961383","2026-03-08 18:16:23","0xe21e4126d4fb6a983eea6e40e245e29fc4b49f99","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.00000087163776","0.00169538476502639","1936.97","","","Transfer"
"0xbde1b3c0a306ed34fc538b8d70b00818242074f48296409846d4741218b5c4cf","24612327","1772967851","2026-03-08 20:04:11","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000072500723","0.0141018008705357","1936.97","","","Transfer"
"0xddb070f660538340806152e84aa5f5669d0d3e100bce5f7ddff12a56297f2c11","24612456","1772969423","2026-03-08 20:30:23","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xf212fc820a71e12cce7392c685a19a721eebdabd","","0","0","0","0.0000031300476","0.00608811969647506","1936.97","","","Flush Tokens"
"0x83e48bcbf19b950a9b22db9f5b4d03a6bef391e60caf2dd043e4025552a4959b","24613371","1772980451","2026-03-08 23:34:11","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000044815181","0.0087168062922492","1936.97","","","Transfer"
"0xfb126ea8f3b7eaf1a4a6cb447b6991cb0cf47bb6a7000dab97f1cc915e293028","24613484","1772981807","2026-03-08 23:56:47","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","0xdac17f958d2ee523a2206206994597c13d831ec7","","0","0","0","0.0000047081765","0.00915766970576774","1936.97","","","Transfer"
"0x52e5e9f89f1a2c4a898e564ad38152e1131ee63be61941d1e21d9ccbcc013e50","24613487","1772981843","2026-03-08 23:57:23","0xb3e35d23f0504b684d73a91c72049061523dc323","0x545b7b7e9372ea6ddc805c0cdee3025eee1880b1","","0","0","0","0.000000983420781","0.00191280906613976","1936.97","","","Transfer"
